"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA PARANAPANEMA","Angiosperms","Bignoniaceae","Amphilophium",,"Kunth emend L.G. Lohmann","BIGNONIACEAE Amphilophium Kunth emend L.G. Lohmann","SPSF00038283","splink","SPSF","Cielo Filho, R.","517",,"2006",,,"Latão","Ouro",,"Paranapanema","Estação Ecológica de Paranapanema."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA",,"Bignoniaceae","Arrabidaea","triplinervia","Hassl.","BIGNONIACEAE Arrabidaea triplinervia Hassl.","SPSF00038128","splink","SPSF","Pastore, J.A.","1428",,"2007","Rezende, A.","2008","Bronze","Ouro",,"Paranapanema","Estação Ecológica de Paranapanema."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA",,"Bignoniaceae","Arrabidaea","triplinervia","Hassl.","BIGNONIACEAE Arrabidaea triplinervia Hassl.","SPSF00038911","splink","SPSF","Cielo Filho, R.","598",,"2007","Rezende, A.","2008","Bronze","Ouro",,"Paranapanema","Estação Ecológica de Paranapanema."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA",,"Fabaceae","Anandenanthera","colubrina","(Vell.) Benth.","FABACEAE Anandenanthera colubrina (Vell.) Benth.","MBM353742","splink","MBM","Baitello, J.B.","1997",,"2008","Baitello, J.B.","2008","Bronze","Ouro",,"Paranapanema","Estação Ecológica, Palmital."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA","Angiosperms","Fabaceae","Eriosema",,"(DC.) Desv.","FABACEAE Eriosema (DC.) Desv.","SPSF00038292","splink","SPSF","Pastore, J.A.","1472",,"2006",,,"Latão","Ouro",,"Paranapanema","Estação Ecológica de Paranapanema."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA","Angiosperms","Malvaceae","Ceiba",,"Mill.","MALVACEAE Ceiba Mill.","SPSF00039241","splink","SPSF","Lima, C.R.","79",,"2008","Baitello, J.B.","2008","Bronze","Ouro",,"Paranapanema","Estação Ecológica de Paranapanema."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA",,,"Indet",,,"NA Indet. sp.","UEC069668","splink","UEC","Aguiar, O.T.","762",,"2007","Simao-Bianchini, R.","2008","Bronze","Ouro",,"Paranapanema","Estação Ecológica, Trila I"
"ESTAÇÃO ECOLÓGICA PARANAPANEMA","Angiosperms","Rubiaceae","Margaritopsis","astrellantha","(Wernham) L.Andersson","RUBIACEAE Margaritopsis astrellantha (Wernham) L.Andersson","MBM339703","splink","MBM","Toniato, M.T.Z.","49",,"2007","Jung-Mencacolli, S.L.","2008","Bronze","Ouro",,"Paranapanema","Estação Ecológica, trilha do Ribeirão Santa helena."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA","Angiosperms","Rubiaceae","Randia",,"L.","RUBIACEAE Randia L.","SPSF00038617","splink","SPSF","Aguiar, O.T.","747",,"2007","Cielo Filho, R.","2007","Prata","Ouro",,"Paranapanema","Estação Ecológica de Paranapanema."
"ESTAÇÃO ECOLÓGICA PARANAPANEMA","Angiosperms","Rubiaceae","Randia",,"L.","RUBIACEAE Randia L.","SPSF00038914","splink","SPSF","Baitello, J.B.","1933",,"2007",,,"Latão","Ouro",,"Paranapanema","Estação Ecológica de Paranapanema."
