"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA XITUÉ","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","23137","splink","HEPH","Souza, F.M.","657","Native","2006","Cielo Filho, R.","2006","Prata","Ouro",,"Ribeirão Grande","Estação Ecológica de Xitué"
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Aspleniaceae","Asplenium","bradeanum","Handro","ASPLENIACEAE Asplenium bradeanum Handro","BHCB000550","splink","BHCB","Salino, A.","8606","Native","2003","Salino, A.","0-0-0","Bronze","Ouro",,"Eldorado","Parque Estadual de Intervales, Trilha saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito"
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Aspleniaceae","Asplenium","raddianum","Gaudich.","ASPLENIACEAE Asplenium raddianum Gaudich.","81139","splink","BHCB","Salino, A.","8613","Native","2003","Salino, A.","0-0-0","Bronze","Ouro",,"Iporanga","Parque Estadual Intervales, Trilha saindo 500m amtes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê. Vegetação bem comservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Athyriaceae","Diplazium","leptocarpon","Fée","ATHYRIACEAE Diplazium leptocarpon Fée","BHCB01124423",,"BHCB","Salino, A.","8667","Native","2003","Mynssen, C.M.","2014","Bronze","Ouro",,"Eldorado","Parque Estadual Intervales. Trilha de acesso a Estação Ecológica de Xituê, saindo da Base Barra Grande."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Athyriaceae","Diplazium","leptocarpon","Fée","ATHYRIACEAE Diplazium leptocarpon Fée","BHCB01124424",,"BHCB","Salino, A.","8625","Native","2003","Mynssen, C.M.","2014","Bronze","Ouro",,"Iporanga","Parque Estadual Intervales. Trilha saindo 500m antes da sede da Base de Barra Grande em direção a Estação Ecológica de Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Athyriaceae","Diplazium","leptocarpon","Fée","ATHYRIACEAE Diplazium leptocarpon Fée","81151","splink","BHCB","Salino, A.","8625","Native","2003","Mynssen, C.M.","2014","Bronze","Ouro",,"Iporanga","Parque Estadual Intervales, Trilha saindo 500m antes da sede da Base de Barra Grande em direção a Estação Ecológica de Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Athyriaceae","Diplazium","lindbergii","(Mett.) Christ","ATHYRIACEAE Diplazium lindbergii (Mett.) Christ","81130","splink","BHCB","Salino, A.","8604","Native","2003","Salino, A.","2003","Bronze","Ouro",,"Iporanga","Parque Estadual Intervales, Trilha, saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê. Vegetação bem conservada de FLoresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito."
"ESTAÇÃO ECOLÓGICA XITUÉ","Angiosperms","Begoniaceae","Begonia","radicans","Vell.","BEGONIACEAE Begonia radicans Vell.","UEC041926","splink","UEC","Viani, R.A.G.","191","Native","2003","Silva, S.J.G.","2007","Bronze","Ouro",,"Eldorado","Parque Estadual Intervales, trilha de acesso a Estação Ecológica Xituê."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Dryopteridaceae","Elaphoglossum","nigrescens","(Hook.) T.Moore ex Diels","DRYOPTERIDACEAE Elaphoglossum nigrescens (Hook.) T.Moore ex Diels","BHCB048824","splink","BHCB","Salino, A.","8621","Native","2003","Salino, A.","2003","Ouro","Ouro",,"Iporanga","Parque Estadual Intervales, Trilha saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xitue."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Dryopteridaceae","Elaphoglossum","nigrescens","(Hook.) T.Moore ex Diels","DRYOPTERIDACEAE Elaphoglossum nigrescens (Hook.) T.Moore ex Diels","BHCB00048824",,"BHCB","Salino, A.","8621","Native","2003","Salino, A.","2003","Ouro","Ouro",,"Iporanga","Parque Estadual Intervales. Trilha saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xitue."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Dryopteridaceae","Elaphoglossum","vagans","(Mett. ex Kuhn) Hieron.","DRYOPTERIDACEAE Elaphoglossum vagans (Mett. ex Kuhn) Hieron.","81137","splink","BHCB","Salino, A.","8611","Native","2003","Salino, A.","2003","Ouro","Ouro",,"Iporanga","Parque Estadual Intervales, Trilha saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Dryopteridaceae","Polybotrya","cylindrica","Kaulf.","DRYOPTERIDACEAE Polybotrya cylindrica Kaulf.","BHCB001231","splink","BHCB","Salino, A.","8663","Native","2003","Salino, A.","2003","Ouro","Ouro",,"Eldorado","Parque Estadual Intervales, Trilha de acesso a Estação Ecológica de Xituê, saindo da Base Barra Grande. Vegetação secundária de Floresta Ombrófila Densa Montana, com intenso histórico de degradação com exploração seletiva de madeira e palmito, com vá"
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Dryopteridaceae","Stigmatopteris","caudata","(Raddi) C.Chr.","DRYOPTERIDACEAE Stigmatopteris caudata (Raddi) C.Chr.","81136","splink","BHCB","Salino, A.","8610","Native","2003","Salino, A.","2003","Ouro","Ouro",,"Iporanga","Parque Estadual Intervales, Trilha saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê."
"ESTAÇÃO ECOLÓGICA XITUÉ","Angiosperms","Elaeocarpaceae","Sloanea","hirsuta","(Schott) Planch. ex Benth.","ELAEOCARPACEAE Sloanea hirsuta (Schott) Planch. ex Benth.","UEC086263","splink","UEC","Urbanetz, C.","140","Native","2003","Sampaio, D.","2018","Ouro","Ouro",,"Eldorado","Parque Estadual Intervales, Trilha de acesso à Estação Ecológica Xitué."
"ESTAÇÃO ECOLÓGICA XITUÉ","Angiosperms","Elaeocarpaceae","Sloanea","hirsuta","(Schott) Planch. ex Benth.","ELAEOCARPACEAE Sloanea hirsuta (Schott) Planch. ex Benth.","UEC077745","splink","UEC","Urbanetz, C.","140","Native","2003","Sampaio, D.","2018","Ouro","Ouro",,"Eldorado","Parque Estadual Intervales, Trilha de acesso à Estação Ecológica Xitué."
"ESTAÇÃO ECOLÓGICA XITUÉ","Angiosperms","Fabaceae","Senegalia","grandistipula","(Benth.) Seigler & Ebinger","FABACEAE Senegalia grandistipula (Benth.) Seigler & Ebinger","ESA084845","splink","ESA","Viani, R.A.G.","200","Native","2003","Terra, V.","2014","Bronze","Ouro",,"Eldorado","Parque Estadual Intervales, trilha de acesso a Estação Ecológica Xituê. Vegetação secundária de Floresta Ombrófila Densa Montana, com intenso histórico de degradação, a partir do extrativismo seletivo de palmito e madeira, com vários trechos dominados por"
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Hymenophyllaceae","Abrodictyum","rigidum","(Sw.) Ebihara & Dubuisson","HYMENOPHYLLACEAE Abrodictyum rigidum (Sw.) Ebihara & Dubuisson","BHCB01114478",,"BHCB","Salino, A.","8605","Native","2003","Salino, A.","2010","Bronze","Ouro",,"Iporanga","Parque Estadual Intervales. Trilha saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Hymenophyllaceae","Hymenophyllum","glaziovii","Baker","HYMENOPHYLLACEAE Hymenophyllum glaziovii Baker","81146","splink","BHCB","Salino, A.","8620","Native","2003","Almeida, T.E.","2003","Bronze","Ouro",,"Iporanga","Parque Estadual Intervales, Trilha saindo 500m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e exploração de palmito."
"ESTAÇÃO ECOLÓGICA XITUÉ","Ferns and Lycophytes","Hymenophyllaceae","Hymenophyllum","hirsutum","(L.) Sw.","HYMENOPHYLLACEAE Hymenophyllum hirsutum (L.) Sw.","BHCB001797","splink","BHCB","Salino, A.","8676","Native","2003","Salino, A.","2003","Bronze","Ouro",,"Eldorado","Parque Estadual Intervales, Trilha de acesso a Estação Ecológica de Xituê, saindo da Base Barra Grande. Vegetação Secundária de Floresta Ombrófila Densa Montana, com intenso histórico de degradação com exploração seletiva de madeira e palmito, com vá"
