"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","deanei","Maiden","MYRTACEAE Eucalyptus deanei Maiden","SPF00070417",,"SPF","Coletor, S.","s.n.","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/17/spf00070417.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","deanei","Maiden","MYRTACEAE Eucalyptus deanei Maiden","SPF00070418",,"SPF","Barbosa, A.C.F.","s.n.","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/18/spf00070418.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","deanei","Maiden","MYRTACEAE Eucalyptus deanei Maiden","SPF00070415",,"SPF","Barbosa, A.C.F.","s.n.","Cultivated","1984","Anonimo",,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/15/spf00070415.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","deanei","Maiden","MYRTACEAE Eucalyptus deanei Maiden","SPF00070416",,"SPF","Barbosa, A.C.F.","s.n.","Cultivated","0","Anonimo",,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/16/spf00070416.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","microcorys","F.Muell.","MYRTACEAE Eucalyptus microcorys F.Muell.","SPF00070438",,"SPF","Barbosa, A.C.F.","BCTw18124","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/38/spf00070438.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","microcorys","F.Muell.","MYRTACEAE Eucalyptus microcorys F.Muell.","SPF00070439",,"SPF","Barbosa, A.C.F.","BCTw18125","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/39/spf00070439.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/39/spf00070439_1.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","microcorys","F.Muell.","MYRTACEAE Eucalyptus microcorys F.Muell.","SPF00070440",,"SPF","Barbosa, A.C.F.","BCTw18127","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/40/spf00070440.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/40/spf00070440_1.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","microcorys","F.Muell.","MYRTACEAE Eucalyptus microcorys F.Muell.","SPF00070441",,"SPF","Barbosa, A.C.F.","BCTw18126","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/41/spf00070441.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","propinqua","H.Deane & Maiden","MYRTACEAE Eucalyptus propinqua H.Deane & Maiden","SPF00070396",,"SPF","Barbosa, A.C.F.","BCTw18140","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/3/96/spf00070396.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","propinqua","H.Deane & Maiden","MYRTACEAE Eucalyptus propinqua H.Deane & Maiden","SPF00070397",,"SPF","Barbosa, A.C.F.","BCTw18141","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/3/97/spf00070397.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","propinqua","H.Deane & Maiden","MYRTACEAE Eucalyptus propinqua H.Deane & Maiden","SPF00070398",,"SPF","Barbosa, A.C.F.","BCTw18142","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/3/98/spf00070398.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","propinqua","H.Deane & Maiden","MYRTACEAE Eucalyptus propinqua H.Deane & Maiden","SPF00070419",,"SPF","Barbosa, A.C.F.","s.n.","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/19/spf00070419.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/19/spf00070419_1.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","resinifera","Sm.","MYRTACEAE Eucalyptus resinifera Sm.","SPF00070406",,"SPF","Barbosa, A.C.F.","BCTw18135","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/6/spf00070406_1.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/6/spf00070406.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","resinifera","Sm.","MYRTACEAE Eucalyptus resinifera Sm.","SPF00070407",,"SPF","Barbosa, A.C.F.","BCTw18136","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/7/spf00070407.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Myrtaceae","Eucalyptus","resinifera","Sm.","MYRTACEAE Eucalyptus resinifera Sm.","SPF00070408",,"SPF","Barbosa, A.C.F.","BCTw18137","Cultivated","1984","Baitello, J.B.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/4/8/spf00070408.dzi","Araraquara","Estação Experimental de Araraquara"
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Salicaceae","Casearia","sylvestris","Sw.","SALICACEAE Casearia sylvestris Sw.","SPSF00051209","splink","SPSF","Carvalho, F.A.","208","Native","2016","Sacramento, L.V.S.",,"Bronze","Ouro",,"Araraquara","Estação Experimental de Araraquara."
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Salicaceae","Casearia","sylvestris","Sw.","SALICACEAE Casearia sylvestris Sw.","SPSF00051207","splink","SPSF","Carvalho, F.A.","209","Native","2016","Sacramento, L.V.S.",,"Bronze","Ouro",,"Araraquara","Estação Experimental de Araraquara."
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Salicaceae","Casearia","sylvestris","Sw.","SALICACEAE Casearia sylvestris Sw.","SPSF00051210","splink","SPSF","Carvalho, F.A.","207","Native","2016","Sacramento, L.V.S.",,"Bronze","Ouro",,"Araraquara","Estação Experimental de Araraquara."
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Salicaceae","Casearia","sylvestris","Sw.","SALICACEAE Casearia sylvestris Sw.","SPSF00051211","splink","SPSF","Carvalho, F.A.","206","Native","2016","Sacramento, L.V.S.",,"Bronze","Ouro",,"Araraquara","Estação Experimental de Araraquara."
"ESTAÇÃO EXPERIMENTAL ARARAQUARA","Angiosperms","Salicaceae","Casearia","sylvestris","Sw.","SALICACEAE Casearia sylvestris Sw.","SPSF00051212","splink","SPSF","Carvalho, F.A.","201","Native","2016","Sacramento, L.V.S.",,"Bronze","Ouro",,"Araraquara","Estação Experimental de Araraquara."
