"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Poaceae","Paspalum","paniculatum","L.","POACEAE Paspalum paniculatum L.","IBGE00034427","x","IBGE","Moura, L.C.","60","Native",,"Filgueiras, T.S.",,"Ouro","Ouro",,,"Banco de Sementes de Solo coletado no Horto Florestal Navarro de Andrade. Coordenada calculada. Floresta Estadual Edmundo Navarro de Andrade"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Acanthaceae","Sanchezia","parvibracteata","Sprague & Hutch.","ACANTHACEAE Sanchezia parvibracteata Sprague & Hutch.","HRCB069500","splink","HRCB","Azevedo, I.H.F.","107","Cultivated","2017","Azevedo, I.H.F.","2021","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade Em frente ao Museu do Eucalipto"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","HRCB069501","splink","HRCB","Azevedo, I.H.F.","108","Native","2017","Azevedo, I.H.F.","2017","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade Estrada de entrada do lado esquerdo"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","HRCB069502","splink","HRCB","Azevedo, I.H.F.","109","Native","2017","Azevedo, I.H.F.","2017","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade Trilha da Coleção"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","69503","x","HRCB","Azevedo, I.H.F.","110","Native","2017","Azevedo, I.H.F.","2017","Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade Trilha da Coleção"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Acanthaceae","Ruellia","jussieuoides","Schltdl. & Cham.","ACANTHACEAE Ruellia jussieuoides Schltdl. & Cham.","UPCB0051836","splink","UPCB","Azevedo, I.H.F.","112","Native","2017","Azevedo, I.H.F.","2017","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade. Estrada de entrada, após a segunda cancela, à sombra do bambuzal."
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Acanthaceae","Sanchezia","oblonga","Ruiz & Pav.","ACANTHACEAE Sanchezia oblonga Ruiz & Pav.","UPCB0051830",,"UPCB","Azevedo, I.H.F.","107","Native","2017","Azevedo, I.H.F.","2017","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade Em frente ao Museu do Eucalipto."
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Acanthaceae","Thunbergia","alata","Bojer ex Sims","ACANTHACEAE Thunbergia alata Bojer ex Sims","HRCB069504","splink","HRCB","Azevedo, I.H.F.","111","Naturalized","2017","Azevedo, I.H.F.","2017","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade Trilha da Coleção"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Asteraceae","Moquiniastrum","barrosoae","(Cabrera) G. Sancho","ASTERACEAE Moquiniastrum barrosoae (Cabrera) G. Sancho","56377","x","HRCB","Aguiar, F.L.","s.n.","Native","2011","Roque, N.","2016","Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade (FEENA)"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Asteraceae","Moquiniastrum","pulchrum","(Cabrera) G.Sancho","ASTERACEAE Moquiniastrum pulchrum (Cabrera) G.Sancho","56375","x","HRCB","Aguiar, F.L.","s.n.","Native","2011","Roque, N.","2016","Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade (FEENA)"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Myrtaceae","Eugenia","florida","DC.","MYRTACEAE Eugenia florida DC.","SPSF00046538","splink","SPSF","Aguiar, F.L.",,"Native","2011","Aguiar, O.T.","2011","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade."
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Oxalidaceae","Oxalis","cytisoides","Mart. ex Zucc.","OXALIDACEAE Oxalis cytisoides Mart. ex Zucc.","FLOR00069513","x","FLOR","Rampin, V.T.","s.n.","Native","2006","Fiaschi, P.",,"Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade (FEENA)."
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Bignoniaceae","Tanaecium","selloi","(Spreng.) L.G.Lohmann","BIGNONIACEAE Tanaecium selloi (Spreng.) L.G.Lohmann","RB01161643","x","RB","Assis, M.A.","1773","Native","2006","Kaehler, M.","2023","Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Myrtaceae","Eugenia","paracatuana","O.Berg","MYRTACEAE Eugenia paracatuana O.Berg","UEC089553","splink","UEC","Prata, E.M.B.","s.n","Native","2005","Valdemarin, K.S.","2026","Ouro","Ouro",,"Rio Claro","Floresta Estadual Edmundo Navarro de Andrade. FEENA. Último talhão do arboreto contornado pela Trilha da Saúde."
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Convolvulaceae","Distimake","macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","CONVOLVULACEAE Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","42569","x","HRCB","Monteiro, R.","s.n.","Native","2005","Petrongari, F.S.","2017","Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade Estrada limite Norte, em frente ao talhão 120-A"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Lauraceae","Cinnamomum","verum","J.Presl","LAURACEAE Cinnamomum verum J.Presl","39172","x","FUEL","Moraes, P.L.R.","s.n.","Cultivated","2001","Moraes, P.L.R.",,"Ouro","Ouro",,"Rio Claro","Horto Florestal de Rio Claro, Ao lado do jardim das Cactáceas e Euforbiáceas"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Cyperaceae","Scleria","gaertneri","Raddi","CYPERACEAE Scleria gaertneri Raddi","40598","x","HRCB","Moura, L.C.","303","Native","1998","Shepherd, G.J.",,"Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Convolvulaceae","Jacquemontia","densiflora","(Meisn.) Hallier f.","CONVOLVULACEAE Jacquemontia densiflora (Meisn.) Hallier f.","40544","x","HRCB","Moura, L.C.","12","Native","1998","Pastore, M.","2013","Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade"
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","Angiosperms","Asteraceae","Pseudogynoxys","cabrerae","H.Rob. & Cuatrec.","ASTERACEAE Pseudogynoxys cabrerae H.Rob. & Cuatrec.","40681","x","HRCB","Moura, L.C.","75","Native","1998","Teles, A.M.","2012","Ouro","Ouro",,,"Floresta Estadual Edmundo Navarro de Andrade (FEENA)"
