"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Melastomataceae","Trembleya","parviflora","(D.Don) Cogn.","MELASTOMATACEAE Trembleya parviflora (D.Don) Cogn.","UPCB0022926",,"UPCB","Polisel, R.T.","176","Native","2006","Goldenberg, R.","2007","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/2/29/26/upcb00022926.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus, Núcleo Chapadão, campo úmido."
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Celastraceae","Peritassa","campestris","(Cambess.) A.C. Sm.","CELASTRACEAE Peritassa campestris (Cambess.) A.C. Sm.","SPF00173830",,"SPF","Junqueira, A.B.","159","Native","2004","Groppo, M.","7/4","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/38/30/spf00173830.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Cyperaceae","Bulbostylis","junciformis","(Kunth) C.B.Clarke","CYPERACEAE Bulbostylis junciformis (Kunth) C.B.Clarke","SPF00172347",,"SPF","Sasaki, D.","898","Native","2004","Prata, A.P.","8/4","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/23/47/spf00172347.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Euphorbiaceae","Croton","grandivelus","Baill.","EUPHORBIACEAE Croton grandivelus Baill.","SPF00168793",,"SPF","Caruzo, M.B.R.","34","Native","2004","Caruzo, M.B.R.",,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/87/93/spf00168793.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Lamiaceae","Gymneia","virgata","(Benth.) Harley & J.F.B.Pastore","LAMIACEAE Gymneia virgata (Benth.) Harley & J.F.B.Pastore","SPF00172555",,"SPF","Sasaki, D.","961","Native","2004","Antar, G.M.","9/16","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/25/55/spf00172555.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Malpighiaceae","Byrsonima","crassifolia","(L.) Kunth","MALPIGHIACEAE Byrsonima crassifolia (L.) Kunth","SPF00173912",,"SPF","Junqueira, A.B.","156","Native","2004","Francener, A.","12/12/14","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/39/12/spf00173912.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus, Cerrado. Estrada próximo à sede do parque, em direção à trilha da cachoeira do chalé."
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Myrtaceae","Psidium","grandifolium","Mart. ex DC.","MYRTACEAE Psidium grandifolium Mart. ex DC.","SPF00172831",,"SPF","Sasaki, D.","1055","Native","2004","Sobral, M.","5/6","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/28/31/spf00172831.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Polygalaceae","Senega","galioides","(Poir.) J.F.B.Pastore","POLYGALACEAE Senega galioides (Poir.) J.F.B.Pastore","SPF00172876",,"SPF","Sasaki, D.","981","Native","2004","Pastore, J.F.B.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/28/76/spf00172876.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Asteraceae","Grazielia","dimorpholepis","(Baker) R.M.King & H.Rob.","ASTERACEAE Grazielia dimorpholepis (Baker) R.M.King & H.Rob.","HUFU00046202",,"HUFU","Sasaki, D.","900","Native","2004","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/62/2/hufu00046202.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Asteraceae","Lessingianthus","coriaceus","(Less.) H.Rob.","ASTERACEAE Lessingianthus coriaceus (Less.) H.Rob.","HUFU00047303",,"HUFU","Sasaki, D.","964","Native","2004","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/73/3/hufu00047303.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Turneraceae","Piriqueta","aurea","(Cambess.) Urb.","TURNERACEAE Piriqueta aurea (Cambess.) Urb.","SPF00172962",,"SPF","Sasaki, D.","910","Native","2004","Arbo, M.M.","2014","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/29/62/spf00172962.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus, Cerrado em encosta próxima ao encontro dos córregos Pedregulho e Bom Jesus."
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Sapindaceae","Serjania","reticulata","Cambess.","SAPINDACEAE Serjania reticulata Cambess.","SPF00172937",,"SPF","Sasaki, D.","974","Native","2004","Ferrucci, M.S.","2007","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/29/37/spf00172937.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
"PARQUE ESTADUAL FURNAS DO BOM JESUS","Angiosperms","Asteraceae","Baccharis","dracunculifolia","DC.","ASTERACEAE Baccharis dracunculifolia DC.","HUFU00042998",,"HUFU","Sasaki, D.","926","Native","2004","Nakajima, J.N.","2005","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/29/98/hufu00042998.dzi","Pedregulho","Parque Estadual das Furnas do Bom Jesus"
