"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL ITABERABA","Angiosperms","Asteraceae","Trichogonia",,"Gardner","ASTERACEAE Trichogonia Gardner","CEN00139982","splink","CEN","Antar, G.M.","3057","Native","2020",,,"Ouro","Ouro",,"Santa Isabel","Parque Estadual Itaberaba. Fazenda Piraporinha. Área em processo de regularização fundiária para ser reconhecida como área do Parque."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Melastomataceae","Leandra","australis","(Cham.) Cogn.","MELASTOMATACEAE Leandra australis (Cham.) Cogn.","UPCB0106250",,"UPCB","Antar, G.M.","3083",,"2020","Goldenberg, R.","2026","Ouro","Ouro",,"Santa Isabel","Fazenda Piraporinha. Parque Estadual Itaberaba"
"PARQUE ESTADUAL ITABERABA","Angiosperms","Dilleniaceae","Davilla",,"Vand.","DILLENIACEAE Davilla Vand.","CEN00139432","splink","CEN","Antar, G.M.","3042","Native","2020",,,"Latão","Ouro",,"Santa Isabel","Parque Estadual Itaberaba. Fazenda Piraporinha. Área em processo de regularização fundiária para ser reconhecida como área do Parque."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Melastomataceae",,,"A.Juss.","MELASTOMATACEAE Melastomataceae A.Juss.","CEN00139317","splink","CEN","Antar, G.M.","3064","Native","2020",,,"Latão","Ouro",,"Santa Isabel","Parque Estadual Itaberaba. Fazenda Piraporinha. Área em processo de regularização fundiária para ser reconhecida como área do Parque."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Rubiaceae","Manettia",,"Mutis ex L.","RUBIACEAE Manettia Mutis ex L.","CEN00139433","splink","CEN","Antar, G.M.","3090","Native","2020",,,"Latão","Ouro",,"Santa Isabel","Parque Estadual Itaberaba. Fazenda Piraporinha. Área em processo de regularização fundiária para ser reconhecida como área do Parque."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Rubiaceae",,,"Juss.","RUBIACEAE Rubiaceae Juss.","CEN00139236","splink","CEN","Antar, G.M.","3062","Native","2020",,,"Latão","Ouro",,"Santa Isabel","Parque Estadual Itaberaba. Fazenda Piraporinha. Área em processo de regularização fundiária para ser reconhecida como área do Parque."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Sapindaceae","Serjania",,"Mill.","SAPINDACEAE Serjania Mill.","CEN00139316","splink","CEN","Antar, G.M.","3054","Native","2020",,,"Latão","Ouro",,"Santa Isabel","Parque Estadual Itaberaba. Fazenda Piraporinha. Área em processo de regularização fundiária para ser reconhecida como área do Parque."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Urticaceae","Urera",,"Gaudich.","URTICACEAE Urera Gaudich.","CEN00139055","splink","CEN","Antar, G.M.","3075","Native","2020",,,"Latão","Ouro",,"Santa Isabel","Parque Estadual Itaberaba."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Euphorbiaceae","Croton","salutaris","Casar.","EUPHORBIACEAE Croton salutaris Casar.","SPSF00007020","splink","SPSF","Honda, S.",,,"2008","Cordeiro, I.","2008","Ouro","Prata",,"Guarulhos","serra do Itaberaba."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Loranthaceae","Struthanthus","acuminatus","(Ruiz & Pav.) Kuijt","LORANTHACEAE Struthanthus acuminatus (Ruiz & Pav.) Kuijt","UFG0062124",,"UFG","Honda, S.","537",,"2008","Garcia, R.J.F.","2008","Prata","Prata","imagens4.jbrj.gov.br/fsi/server?type=image&source=u/ufg/7-22019/UFG0062124.JPG","Guarulhos","Serra do Itaberaba"
"PARQUE ESTADUAL ITABERABA","Angiosperms","Myrtaceae","Myrcia","hebepetala","DC.","MYRTACEAE Myrcia hebepetala DC.","SMDB024048","splink","SMDB","Honda, S.","538",,"2008","Garcia, R.J.F.","2008","Prata","Prata",,"Guarulhos","Serra do Itaberaba. Mata da AMBEV."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Apocynaceae","Condylocarpon","isthmicum","(Vell.) A.DC.","APOCYNACEAE Condylocarpon isthmicum (Vell.) A.DC.","COR00109720","splink","COR","Honda, S.","566","Native","2008","Honda, S.",,"Bronze","Prata",,"Guarulhos","Serra do Itaberaba, mata da Ambev., Vistoria conjunta com o IBAMA. Mata."
"PARQUE ESTADUAL ITABERABA","Angiosperms","Begoniaceae","Begonia","luxurians","Scheidw.","BEGONIACEAE Begonia luxurians Scheidw.","IRATI00001236",,"IRATI","Garcia, R.J.F.","s.n.","Native","2008","Siqueira, F.S.","2008","Bronze","Prata",,"Guarulhos","Serra do Itaberaba."
