"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Meliaceae","Trichilia","pallida","Sw.","MELIACEAE Trichilia pallida Sw.","SORO003703","splink","SORO","Castello, A.C.D.","6","Native","2013",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Bignoniaceae","Handroanthus","umbellatus","(Sond.) Mattos","BIGNONIACEAE Handroanthus umbellatus (Sond.) Mattos","SORO001420","splink","SORO","Coelho, S.","909","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Cardiopteridaceae","Citronella","paniculata","(Mart.) R.A.Howard","CARDIOPTERIDACEAE Citronella paniculata (Mart.) R.A.Howard","SORO001421","splink","SORO","Coelho, S.","857","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Cordiaceae","Cordia","trichotoma","(Vell.) Arráb. ex Steud.","CORDIACEAE Cordia trichotoma (Vell.) Arráb. ex Steud.","SORO001425","splink","SORO","Coelho, S.","965","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Elaeocarpaceae","Sloanea","hirsuta","(Schott) Planch. ex Benth.","ELAEOCARPACEAE Sloanea hirsuta (Schott) Planch. ex Benth.","SORO001419","splink","SORO","Coelho, S.","856","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Fabaceae","Dahlstedtia","floribunda","(Vogel) M.J. Silva & A.M.G. Azevedo","FABACEAE Dahlstedtia floribunda (Vogel) M.J. Silva & A.M.G. Azevedo","SORO001428","splink","SORO","Coelho, S.","778","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Melastomataceae","Miconia","minutiflora","(Bonpl.) DC.","MELASTOMATACEAE Miconia minutiflora (Bonpl.) DC.","SORO001424","splink","SORO","Coelho, S.","425","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Rubiaceae","Cordiera","concolor","(Cham.) Kuntze","RUBIACEAE Cordiera concolor (Cham.) Kuntze","SORO001423","splink","SORO","Coelho, S.","823","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Rutaceae","Esenbeckia","febrifuga","(A.St.-Hil.) A. Juss. ex Mart.","RUTACEAE Esenbeckia febrifuga (A.St.-Hil.) A. Juss. ex Mart.","SORO001427","splink","SORO","Coelho, S.","547","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Rutaceae","Zanthoxylum","fagara","(L.) Sarg.","RUTACEAE Zanthoxylum fagara (L.) Sarg.","SORO001422","splink","SORO","Coelho, S.","717","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","Angiosperms","Salicaceae","Xylosma","pseudosalzmannii","Sleumer","SALICACEAE Xylosma pseudosalzmannii Sleumer","SORO001426","splink","SORO","Coelho, S.","235","Native","2012",,,"Latão","Ouro",,"Sorocaba","Parque Natural Municipal Corredores da Biodiversidade"
