"family","scientificName","scientificNameAuthorship","x"
"Graphidaceae","Leucodecton occultum","(Eschw.) Frisch",350
"Pertusariaceae","Pertusaria flavens","Nyl.",288
"Graphidaceae","Glyphis scyphulifera","(Ach.) Staiger",250
"Scenedesmaceae","Scenedesmaceae","Oltmanns",216
"Lecanoraceae","Lecanora helva","Stizenb.",187
"Graphidaceae","Sarcographa labyrinthica","(Ach.) Müll. Arg.",171
"Graphidaceae","Diorygma poitaei","(Fée) Kalb, Staiger & Elix",170
"Coccomyxaceae","Coccomyxaceae","Smith",170
"Graphidaceae","Dyplolabia afzelii","(Ach.) A. Massal.",165
"Lycopodiopsidaceae","Brasilodendron","W.G. Chaloner, K.U. Leistikow & A. Hill",146
"Fabaceae","Desmodium virgatus","(L.) Willd.",144
"Graphidaceae","Glyphis cicatricosa","Ach.",140
"Trypetheliaceae","Trypethelium eluteriae","Spreng.",140
"Trypetheliaceae","Trypethelium ochroleucum","(Eschw.) Nyl.",99
"Opegraphaceae","Opegrapha","Ach.",94
"Trypetheliaceae","Polymeridium amylosporum","(Vain.) Aptroot",93
"Haematommataceae","Haematomma persoonii","(Fée) A. Massal.",83
"Elsinoaceae","Elsinoã« australis","Bitanc. & Jenkins",82
"Graphidaceae","Chapsa dilatata","(Müll. Arg.) Kalb",81
"Elsinoaceae","Elsinoã« fawcettii","Bitanc. & Jenkins",81
"Graphidaceae","Graphis glaucescens","Fée",81
"Arthoniaceae","Coniocarpon cinnabarinum","DC.",77
"Graphidaceae","Graphis dendrogramma","Nyl.",74
"Lecanoraceae","Lecanora tropica","Zahlbr.",74
"Graphidaceae","Phaeographis neotricosa","Redinger",73
"Sphagnaceae","Sphagnum balticum","(Russow) C.E.O. Jensen",69
"Graphidaceae","Phaeographis brasiliensis","(A. Massal.) Kalb & Matthes-Leicht",63
"Trypetheliaceae","Trypethelium nitidiusculum","(Nyl.) R.C. Harris",63
"Lecanoraceae","Lecanora leprosa","Fée",63
"Sphagnaceae","Sphagnum bartlettianum","L.",62
"Sphagnaceae","Sphagnum bartlettianum","Warnst.",62
"Pyrenulaceae","Pyrenula anomala","(Ach.) Vain.",61
"Melastomataceae","Microlicia phlogiformis","DC.",61
"Arthopyreniaceae","Arthopyrenia cinchonae","(Ach.) Müll. Arg.",60
"Pteridaceae","Doryopteris pedata","(L.) Fée",60
"Roccellaceae","Lecanactis epileuca","(Nyl.) Tehler",59
"Graphidaceae","Glyphis substriatula","(Nyl.) Staiger",55
